LINESEARCH!!!
LINESEARCH LR: 0.0001220703125
step 0: train loss 10.9888, val loss 10.9901
iter 1720: loss 4.0386, time 3025.19ms, mfu 22.26%
iter 1730: loss 4.1888, time 3022.77ms, mfu 22.26%
iter 1740: loss 3.7296, time 3034.08ms, mfu 22.26%
iter 1750: loss 3.9359, time 3029.10ms, mfu 22.25%
iter 1760: loss 4.0019, time 3029.62ms, mfu 22.25%
iter 1770: loss 3.8576, time 3028.00ms, mfu 22.25%
iter 1780: loss 3.9540, time 3022.12ms, mfu 22.25%
iter 1790: loss 4.0753, time 3019.10ms, mfu 22.26%
iter 1800: loss 4.1850, time 3020.31ms, mfu 22.26%
iter 1810: loss 4.1630, time 3026.98ms, mfu 22.26%
iter 1820: loss 4.1042, time 3024.30ms, mfu 22.26%
iter 1830: loss 4.2080, time 3024.81ms, mfu 22.26%
iter 1840: loss 3.9973, time 3021.15ms, mfu 22.26%
iter 1850: loss 4.1253, time 3027.85ms, mfu 22.26%
iter 1860: loss 3.9690, time 3029.10ms, mfu 22.26%
iter 1870: loss 4.1360, time 3024.12ms, mfu 22.26%
iter 1880: loss 3.8635, time 3024.74ms, mfu 22.26%
iter 1890: loss 4.1055, time 3016.86ms, mfu 22.26%
iter 1900: loss 4.1105, time 3001.31ms, mfu 22.28%
iter 1910: loss 3.9447, time 3001.26ms, mfu 22.30%
iter 1920: loss 4.1499, time 3003.32ms, mfu 22.31%
iter 1930: loss 4.0072, time 3005.60ms, mfu 22.32%
iter 1940: loss 4.1540, time 3007.54ms, mfu 22.32%
iter 1950: loss 3.9500, time 3008.01ms, mfu 22.33%
iter 1960: loss 4.1534, time 3011.27ms, mfu 22.33%
iter 1970: loss 4.2056, time 3012.32ms, mfu 22.33%
iter 1980: loss 3.6497, time 3013.91ms, mfu 22.34%
iter 1990: loss 4.0519, time 3015.50ms, mfu 22.33%
LINESEARCH!!!
LINESEARCH LR: 6.103515625e-05
step 2000: train loss 4.0328, val loss 4.0556
saving checkpoint to out
iter 2000: loss 4.0741, time 63199.21ms, mfu 20.21%
iter 2010: loss 4.0940, time 3009.47ms, mfu 20.42%
iter 2020: loss 3.9863, time 3005.09ms, mfu 20.62%
iter 2030: loss 3.9669, time 3006.91ms, mfu 20.80%
iter 2040: loss 3.9710, time 3010.12ms, mfu 20.96%
iter 2050: loss 4.0975, time 3009.57ms, mfu 21.10%
iter 2060: loss 3.7357, time 3013.87ms, mfu 21.22%
iter 2070: loss 3.9813, time 3014.80ms, mfu 21.33%
iter 2080: loss 4.0031, time 3013.39ms, mfu 21.43%
iter 2090: loss 3.8961, time 3022.09ms, mfu 21.52%
iter 2100: loss 4.0344, time 3023.36ms, mfu 21.59%
iter 2110: loss 3.9265, time 3028.61ms, mfu 21.66%
iter 2120: loss 4.1206, time 3021.78ms, mfu 21.72%
