step 0: train loss 10.9886, val loss 10.9897
iter 1990: loss 3.8789, time 3054.20ms, mfu 22.07%
step 2000: train loss 3.7883, val loss 3.8085
saving checkpoint to out
iter 2000: loss 3.8852, time 25523.41ms, mfu 20.13%
iter 2010: loss 3.8931, time 3035.56ms, mfu 20.33%
iter 2020: loss 3.8129, time 3023.63ms, mfu 20.53%
iter 2030: loss 3.7711, time 3024.45ms, mfu 20.70%
iter 2040: loss 3.6938, time 3027.70ms, mfu 20.85%
iter 2050: loss 3.7327, time 3029.84ms, mfu 20.99%
iter 2060: loss 3.7635, time 3031.97ms, mfu 21.11%
iter 2070: loss 3.6946, time 3036.80ms, mfu 21.22%
iter 2080: loss 3.6953, time 3040.05ms, mfu 21.31%
iter 2090: loss 3.8042, time 3039.68ms, mfu 21.40%
iter 2100: loss 3.7649, time 3040.88ms, mfu 21.47%
iter 2110: loss 3.6275, time 3046.59ms, mfu 21.53%
iter 2120: loss 3.5777, time 3042.29ms, mfu 21.59%
iter 2130: loss 3.6804, time 3050.52ms, mfu 21.64%
iter 2140: loss 3.7583, time 3045.07ms, mfu 21.69%
iter 2150: loss 3.8380, time 3034.20ms, mfu 21.74%
iter 2160: loss 3.5948, time 3031.94ms, mfu 21.78%
iter 2170: loss 3.8625, time 3031.81ms, mfu 21.83%
iter 2180: loss 3.6900, time 3037.96ms, mfu 21.86%
iter 2190: loss 3.6829, time 3039.51ms, mfu 21.89%
iter 2200: loss 3.9626, time 3044.77ms, mfu 21.91%
iter 2210: loss 3.6171, time 3039.31ms, mfu 21.94%
iter 2220: loss 3.8437, time 3045.44ms, mfu 21.95%
iter 2230: loss 3.6998, time 3053.09ms, mfu 21.96%
iter 2240: loss 3.7015, time 3054.04ms, mfu 21.97%
iter 2250: loss 3.8332, time 3050.43ms, mfu 21.98%
iter 2260: loss 3.6083, time 3047.29ms, mfu 21.99%
iter 2270: loss 3.6089, time 3045.31ms, mfu 22.00%
iter 2280: loss 3.4075, time 3051.04ms, mfu 22.01%
iter 2290: loss 3.7239, time 3053.68ms, mfu 22.01%
iter 2300: loss 3.5958, time 3054.35ms, mfu 22.02%
iter 2310: loss 3.6081, time 3050.87ms, mfu 22.02%
